Scenario,Price,EffDuration,DV01_per1bp,Convexity
Base,98.21319202399474,4.627389945617356,0.04543607019517992,22.407447448151558
Steepener (+25bp shape),98.29426417652977,4.627420972206911,0.04547388126187002,22.407590162392665
Flattener (+25bp shape),98.13218734412555,4.627358901837531,0.045398290677255204,22.407304673452018
"Twist (+25bp, pivot=5y)",98.21921407037206,4.627256766976654,0.04543754854762483,22.406507535394752
"Butterfly (+25bp, belly=5y)",97.92055147726926,4.6265734301264185,0.04529269409638914,22.401990683873056
