Scenario,BasePrice,ScenarioPrice,PnL_vs_Base
Base,98.21319202399474,98.21319202399474,0.0
Steepener (+25bp shape),98.21319202399474,98.29426417652977,0.08107215253502886
Flattener (+25bp shape),98.21319202399474,98.13218734412555,-0.08100467986918147
"Twist (+25bp, pivot=5y)",98.21319202399474,98.21921407037206,0.006022046377324841
"Butterfly (+25bp, belly=5y)",98.21319202399474,97.92055147726926,-0.29264054672547957
